time,node,count,total_count,lambda,service_mode,seed
92,o,20,88,2,fixed,20260905
92,a,26,88,2,fixed,20260905
92,b,2,88,2,fixed,20260905
92,c,36,88,2,fixed,20260905
92,d,4,88,2,fixed,20260905
94,o,22,90,2,fixed,20260905
94,a,26,90,2,fixed,20260905
94,b,2,90,2,fixed,20260905
94,c,34,90,2,fixed,20260905
94,d,6,90,2,fixed,20260905
96,o,19,91,2,fixed,20260905
96,a,29,91,2,fixed,20260905
96,b,3,91,2,fixed,20260905
96,c,32,91,2,fixed,20260905
96,d,8,91,2,fixed,20260905
98,o,22,90,2,fixed,20260905
98,a,28,90,2,fixed,20260905
98,b,2,90,2,fixed,20260905
98,c,31,90,2,fixed,20260905
98,d,7,90,2,fixed,20260905
100,o,21,87,2,fixed,20260905
100,a,27,87,2,fixed,20260905
100,b,2,87,2,fixed,20260905
100,c,31,87,2,fixed,20260905
100,d,6,87,2,fixed,20260905
102,o,20,87,2,fixed,20260905
102,a,25,87,2,fixed,20260905
102,b,3,87,2,fixed,20260905
102,c,34,87,2,fixed,20260905
102,d,5,87,2,fixed,20260905
104,o,22,88,2,fixed,20260905
104,a,23,88,2,fixed,20260905
104,b,3,88,2,fixed,20260905
104,c,34,88,2,fixed,20260905
104,d,6,88,2,fixed,20260905
106,o,19,91,2,fixed,20260905
106,a,25,91,2,fixed,20260905
106,b,7,91,2,fixed,20260905
106,c,32,91,2,fixed,20260905
106,d,8,91,2,fixed,20260905
108,o,12,92,2,fixed,20260905
108,a,29,92,2,fixed,20260905
108,b,8,92,2,fixed,20260905
108,c,35,92,2,fixed,20260905
108,d,8,92,2,fixed,20260905
110,o,10,93,2,fixed,20260905
110,a,25,93,2,fixed,20260905
110,b,11,93,2,fixed,20260905
110,c,33,93,2,fixed,20260905
110,d,14,93,2,fixed,20260905
112,o,15,99,2,fixed,20260905
112,a,26,99,2,fixed,20260905
112,b,9,99,2,fixed,20260905
112,c,34,99,2,fixed,20260905
112,d,15,99,2,fixed,20260905
114,o,14,99,2,fixed,20260905
114,a,28,99,2,fixed,20260905
114,b,9,99,2,fixed,20260905
114,c,37,99,2,fixed,20260905
114,d,11,99,2,fixed,20260905
116,o,16,100,2,fixed,20260905
116,a,27,100,2,fixed,20260905
116,b,10,100,2,fixed,20260905
116,c,34,100,2,fixed,20260905
116,d,13,100,2,fixed,20260905
118,o,14,97,2,fixed,20260905
118,a,27,97,2,fixed,20260905
118,b,10,97,2,fixed,20260905
118,c,38,97,2,fixed,20260905
118,d,8,97,2,fixed,20260905
120,o,15,102,2,fixed,20260905
120,a,27,102,2,fixed,20260905
120,b,9,102,2,fixed,20260905
120,c,43,102,2,fixed,20260905
120,d,8,102,2,fixed,20260905
122,o,15,102,2,fixed,20260905
122,a,27,102,2,fixed,20260905
122,b,8,102,2,fixed,20260905
122,c,39,102,2,fixed,20260905
122,d,13,102,2,fixed,20260905
124,o,11,102,2,fixed,20260905
124,a,31,102,2,fixed,20260905
124,b,10,102,2,fixed,20260905
124,c,38,102,2,fixed,20260905
124,d,12,102,2,fixed,20260905
126,o,14,103,2,fixed,20260905
126,a,29,103,2,fixed,20260905
126,b,11,103,2,fixed,20260905
126,c,38,103,2,fixed,20260905
126,d,11,103,2,fixed,20260905
128,o,15,107,2,fixed,20260905
128,a,31,107,2,fixed,20260905
128,b,13,107,2,fixed,20260905
128,c,38,107,2,fixed,20260905
128,d,10,107,2,fixed,20260905
130,o,14,110,2,fixed,20260905
130,a,30,110,2,fixed,20260905
130,b,17,110,2,fixed,20260905
130,c,36,110,2,fixed,20260905
130,d,13,110,2,fixed,20260905
132,o,11,110,2,fixed,20260905
132,a,31,110,2,fixed,20260905
132,b,19,110,2,fixed,20260905
132,c,35,110,2,fixed,20260905
132,d,14,110,2,fixed,20260905
134,o,15,111,2,fixed,20260905
134,a,29,111,2,fixed,20260905
134,b,19,111,2,fixed,20260905
134,c,37,111,2,fixed,20260905
134,d,11,111,2,fixed,20260905
136,o,18,111,2,fixed,20260905
136,a,27,111,2,fixed,20260905
136,b,19,111,2,fixed,20260905
136,c,35,111,2,fixed,20260905
136,d,12,111,2,fixed,20260905
138,o,18,112,2,fixed,20260905
138,a,27,112,2,fixed,20260905
138,b,21,112,2,fixed,20260905
138,c,35,112,2,fixed,20260905
138,d,11,112,2,fixed,20260905
140,o,18,112,2,fixed,20260905
140,a,23,112,2,fixed,20260905
140,b,21,112,2,fixed,20260905
140,c,38,112,2,fixed,20260905
140,d,12,112,2,fixed,20260905
142,o,20,117,2,fixed,20260905
142,a,24,117,2,fixed,20260905
142,b,21,117,2,fixed,20260905
142,c,39,117,2,fixed,20260905
142,d,13,117,2,fixed,20260905
144,o,19,116,2,fixed,20260905
144,a,23,116,2,fixed,20260905
144,b,20,116,2,fixed,20260905
144,c,40,116,2,fixed,20260905
144,d,14,116,2,fixed,20260905
146,o,22,122,2,fixed,20260905
146,a,24,122,2,fixed,20260905
146,b,22,122,2,fixed,20260905
146,c,40,122,2,fixed,20260905
146,d,14,122,2,fixed,20260905
148,o,24,124,2,fixed,20260905
148,a,25,124,2,fixed,20260905
148,b,20,124,2,fixed,20260905
148,c,42,124,2,fixed,20260905
148,d,13,124,2,fixed,20260905
150,o,29,128,2,fixed,20260905
150,a,22,128,2,fixed,20260905
150,b,20,128,2,fixed,20260905
150,c,42,128,2,fixed,20260905
150,d,15,128,2,fixed,20260905
152,o,22,125,2,fixed,20260905
152,a,22,125,2,fixed,20260905
152,b,25,125,2,fixed,20260905
152,c,41,125,2,fixed,20260905
152,d,15,125,2,fixed,20260905
154,o,26,125,2,fixed,20260905
154,a,18,125,2,fixed,20260905
154,b,27,125,2,fixed,20260905
154,c,40,125,2,fixed,20260905
154,d,14,125,2,fixed,20260905
156,o,25,125,2,fixed,20260905
156,a,19,125,2,fixed,20260905
156,b,27,125,2,fixed,20260905
156,c,44,125,2,fixed,20260905
156,d,10,125,2,fixed,20260905
158,o,26,130,2,fixed,20260905
158,a,19,130,2,fixed,20260905
158,b,28,130,2,fixed,20260905
158,c,46,130,2,fixed,20260905
158,d,11,130,2,fixed,20260905
160,o,21,130,2,fixed,20260905
160,a,20,130,2,fixed,20260905
160,b,30,130,2,fixed,20260905
160,c,46,130,2,fixed,20260905
160,d,13,130,2,fixed,20260905
162,o,18,126,2,fixed,20260905
162,a,19,126,2,fixed,20260905
162,b,33,126,2,fixed,20260905
162,c,45,126,2,fixed,20260905
162,d,11,126,2,fixed,20260905
164,o,19,127,2,fixed,20260905
164,a,20,127,2,fixed,20260905
164,b,33,127,2,fixed,20260905
164,c,46,127,2,fixed,20260905
164,d,9,127,2,fixed,20260905
166,o,23,131,2,fixed,20260905
166,a,19,131,2,fixed,20260905
166,b,34,131,2,fixed,20260905
166,c,45,131,2,fixed,20260905
166,d,10,131,2,fixed,20260905
168,o,21,132,2,fixed,20260905
168,a,18,132,2,fixed,20260905
168,b,35,132,2,fixed,20260905
168,c,45,132,2,fixed,20260905
168,d,13,132,2,fixed,20260905
170,o,18,127,2,fixed,20260905
170,a,19,127,2,fixed,20260905
170,b,36,127,2,fixed,20260905
170,c,45,127,2,fixed,20260905
170,d,9,127,2,fixed,20260905
172,o,18,128,2,fixed,20260905
172,a,16,128,2,fixed,20260905
172,b,40,128,2,fixed,20260905
172,c,47,128,2,fixed,20260905
172,d,7,128,2,fixed,20260905
174,o,14,126,2,fixed,20260905
174,a,15,126,2,fixed,20260905
174,b,44,126,2,fixed,20260905
