time,node,mean_count,std_count,standard_error,seed,num_particles,num_monte_carlo_runs
35.4,d,18.6884,3.90742357978,0.0552593142046,20260625,100,5000
35.5,o,21.6608,4.15682561576,0.0587863916223,20260625,100,5000
35.5,a,14.9708,3.53469180682,0.0499880909202,20260625,100,5000
35.5,b,26.1002,4.40545588655,0.0623025546319,20260625,100,5000
35.5,c,18.5794,3.87410601036,0.0547881326192,20260625,100,5000
35.5,d,18.6888,3.89494398904,0.0550828261398,20260625,100,5000
35.6,o,21.6346,4.17465787744,0.0590385778854,20260625,100,5000
35.6,a,14.9492,3.53212606555,0.0499518058591,20260625,100,5000
35.6,b,26.118,4.41143606478,0.0623871271235,20260625,100,5000
35.6,c,18.614,3.83060552756,0.0541729428917,20260625,100,5000
35.6,d,18.6842,3.8979878427,0.0551258727311,20260625,100,5000
35.7,o,21.6326,4.14654748088,0.0586410368449,20260625,100,5000
35.7,a,14.9358,3.52087456061,0.0497926855503,20260625,100,5000
35.7,b,26.122,4.42020628984,0.0625111568358,20260625,100,5000
35.7,c,18.641,3.83987863527,0.0543040844386,20260625,100,5000
35.7,d,18.6686,3.86281740594,0.0546284876446,20260625,100,5000
35.8,o,21.6422,4.14067726364,0.0585580194365,20260625,100,5000
35.8,a,14.9298,3.53448305613,0.0499851387396,20260625,100,5000
35.8,b,26.1178,4.42251454344,0.0625438004713,20260625,100,5000
35.8,c,18.6488,3.85024978991,0.0544507547141,20260625,100,5000
35.8,d,18.6614,3.85223545277,0.0544788362277,20260625,100,5000
35.9,o,21.6238,4.12330861018,0.0583123895837,20260625,100,5000
35.9,a,14.9668,3.51536190368,0.0497147248084,20260625,100,5000
35.9,b,26.1466,4.38503753129,0.0620137954827,20260625,100,5000
35.9,c,18.592,3.85264903423,0.0544846851526,20260625,100,5000
35.9,d,18.6708,3.85608625944,0.0545332948578,20260625,100,5000
36,o,21.6112,4.12536523082,0.0583414745917,20260625,100,5000
36,a,14.9338,3.51958734215,0.0497744815322,20260625,100,5000
36,b,26.153,4.41178918091,0.0623921209397,20260625,100,5000
36,c,18.6524,3.89807814732,0.0551271498314,20260625,100,5000
36,d,18.6496,3.86209826398,0.0546183174413,20260625,100,5000
36.1,o,21.606,4.1507360458,0.0587002720981,20260625,100,5000
36.1,a,14.8956,3.52187185404,0.0498067894092,20260625,100,5000
36.1,b,26.2476,4.40033712724,0.0622301644436,20260625,100,5000
36.1,c,18.629,3.92301376589,0.0554797927311,20260625,100,5000
36.1,d,18.6218,3.89417483936,0.0550719487208,20260625,100,5000
36.2,o,21.631,4.17817309671,0.0590882905931,20260625,100,5000
36.2,a,14.8526,3.53589787109,0.0500051472446,20260625,100,5000
36.2,b,26.252,4.38961840596,0.0620785788335,20260625,100,5000
36.2,c,18.6658,3.92086533778,0.0554494093693,20260625,100,5000
36.2,d,18.5986,3.90022055582,0.0551574480629,20260625,100,5000
36.3,o,21.616,4.20690903357,0.0594946781094,20260625,100,5000
36.3,a,14.872,3.54961067544,0.0501990755835,20260625,100,5000
36.3,b,26.234,4.42126152933,0.0625260801757,20260625,100,5000
36.3,c,18.6628,3.9157838082,0.0553775456888,20260625,100,5000
36.3,d,18.6152,3.87305164771,0.0547732216796,20260625,100,5000
36.4,o,21.6068,4.2133293473,0.059585475057,20260625,100,5000
36.4,a,14.872,3.49377407562,0.0494094268161,20260625,100,5000
36.4,b,26.2428,4.40887012591,0.0623508392681,20260625,100,5000
36.4,c,18.6602,3.94251755214,0.0557556179213,20260625,100,5000
36.4,d,18.6182,3.87146308329,0.0547507559862,20260625,100,5000
36.5,o,21.5986,4.17456146591,0.0590372144205,20260625,100,5000
36.5,a,14.8628,3.50457309333,0.0495621479892,20260625,100,5000
36.5,b,26.2246,4.37739501958,0.0619057140455,20260625,100,5000
36.5,c,18.7038,3.92223690621,0.0554688062761,20260625,100,5000
36.5,d,18.6102,3.88176114334,0.054896392548,20260625,100,5000
36.6,o,21.5956,4.15532357137,0.0587651495068,20260625,100,5000
36.6,a,14.8834,3.50083641593,0.0495093033906,20260625,100,5000
36.6,b,26.2166,4.33753931273,0.0613420692339,20260625,100,5000
36.6,c,18.7172,3.90818102649,0.0552700261187,20260625,100,5000
36.6,d,18.5872,3.88440650329,0.0549338035872,20260625,100,5000
36.7,o,21.5718,4.14881757823,0.0586731408695,20260625,100,5000
36.7,a,14.8974,3.48501109044,0.0492854994911,20260625,100,5000
36.7,b,26.2296,4.30657557215,0.0609041758152,20260625,100,5000
36.7,c,18.7106,3.88497956922,0.0549419079633,20260625,100,5000
36.7,d,18.5906,3.89425534409,0.0550730872295,20260625,100,5000
36.8,o,21.6136,4.16006685899,0.0588322297236,20260625,100,5000
36.8,a,14.9278,3.50945158252,0.049631140245,20260625,100,5000
36.8,b,26.1506,4.32412525858,0.0611523658608,20260625,100,5000
36.8,c,18.7272,3.93724275809,0.0556810210684,20260625,100,5000
36.8,d,18.5808,3.91547411529,0.0553731659696,20260625,100,5000
36.9,o,21.5844,4.18033152685,0.0591188154048,20260625,100,5000
36.9,a,14.9666,3.53417352665,0.0499807613317,20260625,100,5000
36.9,b,26.1712,4.34903131452,0.0615045906818,20260625,100,5000
36.9,c,18.6882,3.9035917263,0.0552051236131,20260625,100,5000
36.9,d,18.5896,3.88301267027,0.0549140918116,20260625,100,5000
37,o,21.6002,4.17500252565,0.0590434519472,20260625,100,5000
37,a,14.975,3.57616173943,0.0505745643314,20260625,100,5000
37,b,26.1892,4.37598368446,0.0618857547528,20260625,100,5000
37,c,18.607,3.93029775565,0.0555828039021,20260625,100,5000
37,d,18.6286,3.90216701609,0.055184975168,20260625,100,5000
37.1,o,21.6168,4.15391487175,0.0587452274857,20260625,100,5000
37.1,a,14.9324,3.56566586132,0.0504261301997,20260625,100,5000
37.1,b,26.1754,4.35862757836,0.0616403023466,20260625,100,5000
37.1,c,18.6478,3.89270931321,0.0550512230512,20260625,100,5000
37.1,d,18.6276,3.90860252197,0.0552759869649,20260625,100,5000
37.2,o,21.5854,4.13092238416,0.0584200646079,20260625,100,5000
37.2,a,14.9554,3.53467249147,0.0499878177598,20260625,100,5000
37.2,b,26.1894,4.34005701103,0.0613776748647,20260625,100,5000
37.2,c,18.6554,3.91041034954,0.0553015535077,20260625,100,5000
37.2,d,18.6144,3.8793198456,0.0548618673844,20260625,100,5000
37.3,o,21.583,4.14431490951,0.0586094635178,20260625,100,5000
37.3,a,14.9208,3.52650175144,0.0498722660462,20260625,100,5000
37.3,b,26.2218,4.29882550706,0.0607945733436,20260625,100,5000
37.3,c,18.6056,3.90547041723,0.0552316923149,20260625,100,5000
37.3,d,18.6688,3.88408596516,0.0549292704935,20260625,100,5000
37.4,o,21.5996,4.13186329625,0.0584333711142,20260625,100,5000
37.4,a,14.915,3.53359197623,0.0499725369667,20260625,100,5000
37.4,b,26.2246,4.31595647986,0.0610368418843,20260625,100,5000
37.4,c,18.6004,3.92435981531,0.0554988287444,20260625,100,5000
37.4,d,18.6604,3.90611359086,0.0552407881636,20260625,100,5000
37.5,o,21.6168,4.12346436285,0.058314592259,20260625,100,5000
37.5,a,14.8906,3.55386516789,0.0502592431927,20260625,100,5000
37.5,b,26.213,4.38810689209,0.0620572027994,20260625,100,5000
37.5,c,18.604,3.92936025001,0.0555695455702,20260625,100,5000
37.5,d,18.6756,3.90771271766,0.0552634032317,20260625,100,5000
37.6,o,21.612,4.11466184375,0.0581901058401,20260625,100,5000
37.6,a,14.8934,3.57863071014,0.05060948085,20260625,100,5000
37.6,b,26.1764,4.36942804269,0.0617930439779,20260625,100,5000
37.6,c,18.6392,3.93361386305,0.0556297007427,20260625,100,5000
37.6,d,18.679,3.95366732251,0.055913299486,20260625,100,5000
37.7,o,21.6112,4.14915384814,0.0586778964441,20260625,100,5000
37.7,a,14.8922,3.61541054359,0.0511296262429,20260625,100,5000
37.7,b,26.1776,4.37692697425,0.0618990948851,20260625,100,5000
37.7,c,18.6198,3.92162259591,0.0554601186165,20260625,100,5000
37.7,d,18.6992,3.99218071502,0.0564579611062,20260625,100,5000
37.8,o,21.6278,4.11682606037,0.0582207124851,20260625,100,5000
37.8,a,14.9298,3.62749275681,0.051300494541,20260625,100,5000
37.8,b,26.1396,4.35810858769,0.0616329627101,20260625,100,5000
37.8,c,18.591,3.90184108759,0.0551803658429,20260625,100,5000
37.8,d,18.7118,3.98435889236,0.0563473438294,20260625,100,5000
37.9,o,21.642,4.16712238623,0.0589320099467,20260625,100,5000
37.9,a,14.9066,3.61337622419,0.0511008566221,20260625,100,5000
37.9,b,26.1532,4.40803991851,0.0623390983624,20260625,100,5000
37.9,c,18.598,3.93216077719,0.0556091510053,20260625,100,5000
37.9,d,18.7002,3.97556046064,0.0562229152147,20260625,100,5000
38,o,21.6562,4.18190138811,0.0591410165957,20260625,100,5000
38,a,14.8816,3.60046859656,0.0509183152016,20260625,100,5000
38,b,26.1744,4.35836938737,0.0616366509745,20260625,100,5000
38,c,18.6156,3.91970782864,0.055433039718,20260625,100,5000
38,d,18.6722,3.96407491579,0.0560604850817,20260625,100,5000
38.1,o,21.666,4.14128893641,0.0585666697957,20260625,100,5000
38.1,a,14.8712,3.56493370352,0.0504157759247,20260625,100,5000
38.1,b,26.1738,4.37536539325,0.0618770107947,20260625,100,5000
38.1,c,18.6088,3.89820494078,0.0551289429617,20260625,100,5000
38.1,d,18.6802,3.95062646297,0.055870295238,20260625,100,5000
38.2,o,21.6854,4.14828500632,0.0586656091653,20260625,100,5000
38.2,a,14.8992,3.57563929938,0.0505671759134,20260625,100,5000
38.2,b,26.1234,4.41878688958,0.0624910834848,20260625,100,5000
38.2,c,18.6216,3.90028920609,0.0551584189244,20260625,100,5000
38.2,d,18.6704,3.93477576643,0.0556461325378,20260625,100,5000
38.3,o,21.6834,4.13305950552,0.058450288068,20260625,100,5000
38.3,a,14.8788,3.61855348805,0.0511740741897,20260625,100,5000
38.3,b,26.109,4.42093066283,0.0625214010169,20260625,100,5000
38.3,c,18.661,3.88137759287,0.0548909683252,20260625,100,5000
38.3,d,18.6678,3.93661562113,0.0556721520125,20260625,100,5000
38.4,o,21.6848,4.11917983202,0.0582539998429,20260625,100,5000
38.4,a,14.941,3.60162648572,0.0509346902271,20260625,100,5000
38.4,b,26.0798,4.44983057637,0.0629301075137,20260625,100,5000
38.4,c,18.6438,3.9061455624,0.0552412403094,20260625,100,5000
38.4,d,18.6506,3.94294674144,0.0557616875745,20260625,100,5000
38.5,o,21.6852,4.11167631708,0.058147884117,20260625,100,5000
38.5,a,14.9474,3.63610746479,0.0514223249095,20260625,100,5000
38.5,b,26.082,4.42085792544,0.0625203723549,20260625,100,5000
38.5,c,18.6452,3.88004225564,0.0548720838051,20260625,100,5000
38.5,d,18.6402,3.93245938407,0.0556133739443,20260625,100,5000
38.6,o,21.7016,4.09271395305,0.0578797157932,20260625,100,5000
38.6,a,14.9426,3.58154585817,0.0506507072688,20260625,100,5000
38.6,b,26.053,4.41163048053,0.0623898765774,20260625,100,5000
38.6,c,18.6648,3.85567298961,0.0545274503399,20260625,100,5000
38.6,d,18.638,3.8965103052,0.0551049771954,20260625,100,5000
38.7,o,21.6808,4.14482174158,0.0586166312056,20260625,100,5000
38.7,a,14.9022,3.61176468348,0.0510780659948,20260625,100,5000
38.7,b,26.0624,4.41035106078,0.0623717828498,20260625,100,5000
38.7,c,18.6892,3.84608396065,0.0543918409918,20260625,100,5000
38.7,d,18.6654,3.90354843419,0.0552045113701,20260625,100,5000
38.8,o,21.6914,4.15162778229,0.0587128831563,20260625,100,5000
38.8,a,14.931,3.63451247572,0.0513997683578,20260625,100,5000
38.8,b,26.0068,4.40620434017,0.0623131393646,20260625,100,5000
38.8,c,18.6866,3.83861009032,0.0542861445039,20260625,100,5000
38.8,d,18.6842,3.91365988644,0.0553475088992,20260625,100,5000
38.9,o,21.675,4.11693634065,0.0582222720837,20260625,100,5000
38.9,a,14.942,3.64533862607,0.0515528732443,20260625,100,5000
38.9,b,26.022,4.38891427505,0.0620686209186,20260625,100,5000
38.9,c,18.6494,3.84013397758,0.0543076955243,20260625,100,5000
38.9,d,18.7116,3.90920475498,0.0552845038259,20260625,100,5000
39,o,21.7156,4.10737029474,0.0580869877652,20260625,100,5000
39,a,14.9088,3.58271541292,0.0506672472707,20260625,100,5000
39,b,26.0276,4.43138417124,0.0626692359506,20260625,100,5000
39,c,18.644,3.86448584551,0.0546520829432,20260625,100,5000
39,d,18.704,3.87352356866,0.0547798956497,20260625,100,5000
39.1,o,21.7234,4.11619740248,0.05821182192,20260625,100,5000
39.1,a,14.9276,3.55967589796,0.0503414193254,20260625,100,5000
39.1,b,26.0534,4.3876187938,0.0620503000472,20260625,100,5000
39.1,c,18.5828,3.87346678171,0.0547790925609,20260625,100,5000
39.1,d,18.7128,3.91399796065,0.0553522899906,20260625,100,5000
39.2,o,21.708,4.13092591434,0.0584201145322,20260625,100,5000
39.2,a,14.9314,3.53790861944,0.0500335835204,20260625,100,5000
39.2,b,26.0566,4.35150359723,0.0615395540392,20260625,100,5000
39.2,c,18.5884,3.87654368713,0.0548226065746,20260625,100,5000
39.2,d,18.7156,3.8716036087,0.0547527433156,20260625,100,5000
39.3,o,21.6984,4.13464103536,0.0584726542775,20260625,100,5000
39.3,a,14.9246,3.51741229853,0.0497437217704,20260625,100,5000
39.3,b,26.0772,4.33264290231,0.0612728235336,20260625,100,5000
39.3,c,18.5854,3.85378738067,0.0545007838025,20260625,100,5000
39.3,d,18.7144,3.89983004436,0.0551519253968,20260625,100,5000
39.4,o,21.7052,4.12588142577,0.0583487746907,20260625,100,5000
39.4,a,14.9438,3.52419147396,0.0498395937887,20260625,100,5000
39.4,b,26.055,4.36446843464,0.0617229045281,20260625,100,5000
39.4,c,18.5768,3.88946363211,0.0550053221888,20260625,100,5000
39.4,d,18.7192,3.90176833234,0.0551793369283,20260625,100,5000
39.5,o,21.7266,4.12912368094,0.058394627103,20260625,100,5000
39.5,a,14.9544,3.53106419127,0.049936788689,20260625,100,5000
39.5,b,26.0284,4.35887524468,0.0616438048772,20260625,100,5000
39.5,c,18.607,3.90030684417,0.0551586683644,20260625,100,5000
39.5,d,18.6836,3.94783587825,0.0558308304105,20260625,100,5000
39.6,o,21.7448,4.15147201652,0.0587106802958,20260625,100,5000
39.6,a,14.931,3.54242131172,0.0500974026268,20260625,100,5000
39.6,b,26.0222,4.35232072567,0.0615511099805,20260625,100,5000
39.6,c,18.5908,3.91780872492,0.0554061823356,20260625,100,5000
39.6,d,18.7112,3.94833033351,0.0558378230637,20260625,100,5000
39.7,o,21.7132,4.14342604084,0.0585968930164,20260625,100,5000
39.7,a,14.9814,3.52566874621,0.0498604855733,20260625,100,5000
39.7,b,26.0084,4.33401501811,0.0612922281815,20260625,100,5000
39.7,c,18.6136,3.89380628505,0.0550667365757,20260625,100,5000
39.7,d,18.6834,3.94500659764,0.0557908183403,20260625,100,5000
39.8,o,21.6428,4.12686495573,0.0583626839048,20260625,100,5000
39.8,a,14.9886,3.56564339251,0.0504258124428,20260625,100,5000
39.8,b,26.0758,4.35704614736,0.0616179375348,20260625,100,5000
39.8,c,18.6116,3.90330534272,0.0552010735376,20260625,100,5000
39.8,d,18.6812,3.92854340063,0.0555579935755,20260625,100,5000
39.9,o,21.6768,4.11277579561,0.0581634330915,20260625,100,5000
39.9,a,14.9392,3.56236458666,0.0503794431257,20260625,100,5000
39.9,b,26.0816,4.35048581027,0.0615251603579,20260625,100,5000
39.9,c,18.677,3.88160847805,0.0548942335348,20260625,100,5000
39.9,d,18.6254,3.91853873646,0.0554165062579,20260625,100,5000
40,o,21.6854,4.13248621637,0.0584421805351,20260625,100,5000
40,a,14.957,3.58252953981,0.050664618628,20260625,100,5000
40,b,26.0738,4.3306933095,0.0612452521277,20260625,100,5000
40,c,18.6624,3.90080369846,0.0551656949451,20260625,100,5000
40,d,18.6214,3.90941411771,0.055287464662,20260625,100,5000
40.1,o,21.6936,4.16196869723,0.0588591257779,20260625,100,5000
40.1,a,14.9828,3.55919060006,0.0503345561767,20260625,100,5000
40.1,b,26.0348,4.34374983079,0.0614298992226,20260625,100,5000
40.1,c,18.6976,3.94051516581,0.0557272999022,20260625,100,5000
40.1,d,18.5912,3.90219527774,0.055185374848,20260625,100,5000
40.2,o,21.6496,4.15940860892,0.0588229206619,20260625,100,5000
40.2,a,14.9978,3.54405237284,0.0501204693143,20260625,100,5000
40.2,b,26.0676,4.35265658694,0.0615558597761,20260625,100,5000
40.2,c,18.7078,3.94232514457,0.0557528968674,20260625,100,5000
40.2,d,18.5772,3.87017258106,0.0547325055285,20260625,100,5000
40.3,o,21.6762,4.21626718102,0.0596270222999,20260625,100,5000
40.3,a,14.993,3.54872789799,0.050186591225,20260625,100,5000
40.3,b,26.0672,4.36019339219,0.061662446298,20260625,100,5000
40.3,c,18.683,3.94000199532,0.0557200425756,20260625,100,5000
40.3,d,18.5806,3.86870740938,0.054711784872,20260625,100,5000
