time,node,count,total_count,lambda,service_mode,seed
3.9,a,52,251,100,proportional,20260904
3.9,b,55,251,100,proportional,20260904
3.9,c,52,251,100,proportional,20260904
3.9,d,34,251,100,proportional,20260904
3.95,o,55,253,100,proportional,20260904
3.95,a,54,253,100,proportional,20260904
3.95,b,54,253,100,proportional,20260904
3.95,c,56,253,100,proportional,20260904
3.95,d,34,253,100,proportional,20260904
4,o,59,259,100,proportional,20260904
4,a,55,259,100,proportional,20260904
4,b,49,259,100,proportional,20260904
4,c,61,259,100,proportional,20260904
4,d,35,259,100,proportional,20260904
4.05,o,61,259,100,proportional,20260904
4.05,a,55,259,100,proportional,20260904
4.05,b,51,259,100,proportional,20260904
4.05,c,54,259,100,proportional,20260904
4.05,d,38,259,100,proportional,20260904
4.1,o,62,263,100,proportional,20260904
4.1,a,59,263,100,proportional,20260904
4.1,b,50,263,100,proportional,20260904
4.1,c,54,263,100,proportional,20260904
4.1,d,38,263,100,proportional,20260904
4.15,o,61,263,100,proportional,20260904
4.15,a,60,263,100,proportional,20260904
4.15,b,53,263,100,proportional,20260904
4.15,c,52,263,100,proportional,20260904
4.15,d,37,263,100,proportional,20260904
4.2,o,59,264,100,proportional,20260904
4.2,a,60,264,100,proportional,20260904
4.2,b,53,264,100,proportional,20260904
4.2,c,54,264,100,proportional,20260904
4.2,d,38,264,100,proportional,20260904
4.25,o,58,263,100,proportional,20260904
4.25,a,57,263,100,proportional,20260904
4.25,b,55,263,100,proportional,20260904
4.25,c,53,263,100,proportional,20260904
4.25,d,40,263,100,proportional,20260904
4.3,o,57,260,100,proportional,20260904
4.3,a,59,260,100,proportional,20260904
4.3,b,56,260,100,proportional,20260904
4.3,c,53,260,100,proportional,20260904
4.3,d,35,260,100,proportional,20260904
4.35,o,60,263,100,proportional,20260904
4.35,a,59,263,100,proportional,20260904
4.35,b,56,263,100,proportional,20260904
4.35,c,52,263,100,proportional,20260904
4.35,d,36,263,100,proportional,20260904
4.4,o,58,265,100,proportional,20260904
4.4,a,60,265,100,proportional,20260904
4.4,b,57,265,100,proportional,20260904
4.4,c,52,265,100,proportional,20260904
4.4,d,38,265,100,proportional,20260904
4.45,o,60,268,100,proportional,20260904
4.45,a,57,268,100,proportional,20260904
4.45,b,57,268,100,proportional,20260904
4.45,c,53,268,100,proportional,20260904
4.45,d,41,268,100,proportional,20260904
4.5,o,58,268,100,proportional,20260904
4.5,a,57,268,100,proportional,20260904
4.5,b,59,268,100,proportional,20260904
4.5,c,55,268,100,proportional,20260904
4.5,d,39,268,100,proportional,20260904
4.55,o,61,272,100,proportional,20260904
4.55,a,56,272,100,proportional,20260904
4.55,b,58,272,100,proportional,20260904
4.55,c,56,272,100,proportional,20260904
4.55,d,41,272,100,proportional,20260904
4.6,o,59,273,100,proportional,20260904
4.6,a,52,273,100,proportional,20260904
4.6,b,57,273,100,proportional,20260904
4.6,c,60,273,100,proportional,20260904
4.6,d,45,273,100,proportional,20260904
4.65,o,58,273,100,proportional,20260904
4.65,a,55,273,100,proportional,20260904
4.65,b,55,273,100,proportional,20260904
4.65,c,62,273,100,proportional,20260904
4.65,d,43,273,100,proportional,20260904
4.7,o,64,281,100,proportional,20260904
4.7,a,51,281,100,proportional,20260904
4.7,b,59,281,100,proportional,20260904
4.7,c,62,281,100,proportional,20260904
4.7,d,45,281,100,proportional,20260904
4.75,o,65,285,100,proportional,20260904
4.75,a,49,285,100,proportional,20260904
4.75,b,59,285,100,proportional,20260904
4.75,c,61,285,100,proportional,20260904
4.75,d,51,285,100,proportional,20260904
4.8,o,58,283,100,proportional,20260904
4.8,a,52,283,100,proportional,20260904
4.8,b,56,283,100,proportional,20260904
4.8,c,67,283,100,proportional,20260904
4.8,d,50,283,100,proportional,20260904
4.85,o,57,286,100,proportional,20260904
4.85,a,55,286,100,proportional,20260904
4.85,b,59,286,100,proportional,20260904
4.85,c,66,286,100,proportional,20260904
4.85,d,49,286,100,proportional,20260904
4.9,o,57,286,100,proportional,20260904
4.9,a,53,286,100,proportional,20260904
4.9,b,62,286,100,proportional,20260904
4.9,c,64,286,100,proportional,20260904
4.9,d,50,286,100,proportional,20260904
4.95,o,57,288,100,proportional,20260904
4.95,a,55,288,100,proportional,20260904
4.95,b,59,288,100,proportional,20260904
4.95,c,65,288,100,proportional,20260904
4.95,d,52,288,100,proportional,20260904
5,o,55,285,100,proportional,20260904
5,a,59,285,100,proportional,20260904
5,b,59,285,100,proportional,20260904
5,c,63,285,100,proportional,20260904
5,d,49,285,100,proportional,20260904
5.05,o,53,282,100,proportional,20260904
5.05,a,58,282,100,proportional,20260904
5.05,b,62,282,100,proportional,20260904
5.05,c,64,282,100,proportional,20260904
5.05,d,45,282,100,proportional,20260904
5.1,o,54,283,100,proportional,20260904
5.1,a,56,283,100,proportional,20260904
5.1,b,64,283,100,proportional,20260904
5.1,c,67,283,100,proportional,20260904
5.1,d,42,283,100,proportional,20260904
5.15,o,56,286,100,proportional,20260904
5.15,a,54,286,100,proportional,20260904
5.15,b,68,286,100,proportional,20260904
5.15,c,67,286,100,proportional,20260904
5.15,d,41,286,100,proportional,20260904
5.2,o,59,295,100,proportional,20260904
5.2,a,53,295,100,proportional,20260904
5.2,b,71,295,100,proportional,20260904
5.2,c,65,295,100,proportional,20260904
5.2,d,47,295,100,proportional,20260904
5.25,o,62,296,100,proportional,20260904
5.25,a,49,296,100,proportional,20260904
5.25,b,70,296,100,proportional,20260904
5.25,c,67,296,100,proportional,20260904
5.25,d,48,296,100,proportional,20260904
5.3,o,62,300,100,proportional,20260904
5.3,a,54,300,100,proportional,20260904
